"";"unidade_planejamento";"regiao_administrativa";"local_trabalho";"meio_transporte";"tempo_deslocamento";"renda";"escolaridade";"sexo";"cor_raca";"peso_amostral_morador";"pop_ajustada";"pos_estrato";"peso_upt"
"10626";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Ônibus";"Até 30 minutos";1797,04984734155;"Médio incompleto";"Masculino";"Preta";23,2991452991453;2726;533010106;0,780199918533605
"10627";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"A pé";"Até 30 minutos";2246,31230917694;"Médio completo";"Feminino";"Outros";20,7181208053691;3087;533010209;0,780199918533605
"10628";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Entre 30 minutos e 1 hora";1834,62285307774;"Fundamental incompleto";"Masculino";"Outros";7,72058823529412;525;533020107;0,780199918533605
"10629";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Entre 30 minutos e 1 hora";5320,40627392546;"Médio completo";"Feminino";"Outros";5,50649350649351;424;533020210;0,780199918533605
"10630";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Entre 30 minutos e 1 hora";3577,5145635016;"Médio completo";"Masculino";"Outros";4,26760563380282;303;533020111;0,780199918533605
"10631";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Ônibus";"Até 30 minutos";1797,04984734155;"Médio incompleto";"Masculino";"Outros";24,1186440677966;2846;533010107;0,780199918533605
"10632";"Central Adjacente 2";"Vicente Pires";"Central";"Ônibus";"Entre 30 minutos e 1 hora";2568,47199430884;"Superior completo";"Masculino";"Branca";4,95145631067961;510;533020109;0,780199918533605
"10633";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"A pé";"Até 30 minutos";3594,0996946831;"Médio completo";"Feminino";"Outros";18,0126582278481;2846;533010210;0,780199918533605
"10634";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Até 30 minutos";7188,19938936621;"Superior completo";"Masculino";"Outros";20,7520661157025;2511;533010111;0,780199918533605
"10635";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Até 30 minutos";1168,08240077201;"Médio completo";"Masculino";"Outros";25,8796296296296;2795;533010105;0,780199918533605
"10636";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Entre 30 minutos e 1 hora";4035,31432165227;"Superior completo";"Masculino";"Outros";20,2913385826772;2577;533010110;0,780199918533605
"10637";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Entre 30 minutos e 1 hora";3079,41445889099;"Médio completo";"Masculino";"Outros";23,2991452991453;2726;533010106;0,780199918533605
"10638";"Central Adjacente 2";"Vicente Pires";"Oeste";"Ônibus";"Entre 30 minutos e 1 hora";2174,43031528328;"Superior completo";"Masculino";"Outros";23,2991452991453;2726;533010106;0,780199918533605
"10639";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Entre 30 minutos e 1 hora";3485,78342084771;"Superior incompleto";"Feminino";"Branca";25,4830508474576;3007;533010207;0,780199918533605
"10640";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Ônibus";"Até 30 minutos";1100,77371184665;"Médio completo";"Feminino";"Branca";4,3495145631068;448;533020208;0,780199918533605
"10641";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"A pé";"Até 30 minutos";1467,6982824622;"Fundamental incompleto";"Feminino";"Preta";17,4556962025316;2758;533010206;0,780199918533605
"10642";"Central Adjacente 2";"Vicente Pires";"Oeste";"Ônibus";"Entre 30 minutos e 1 hora";2246,31230917694;"Médio completo";"Masculino";"Outros";19,6861313868613;2697;533010108;0,780199918533605
"10643";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Entre 30 minutos e 1 hora";4492,62461835388;"Médio completo";"Masculino";"Outros";24,6166666666667;1477;533010113;0,780199918533605
"10644";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Entre 30 minutos e 1 hora";11466,3928317359;"Superior completo";"Masculino";"Branca";20,4586466165414;2721;533010109;0,780199918533605
"10645";"Central Adjacente 2";"Vicente Pires";"Oeste";"Ônibus";"Entre 30 minutos e 1 hora";2109,81628103941;"Médio completo";"Masculino";"Outros";5,97674418604651;514;533020108;0,780199918533605
"10646";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Entre 30 minutos e 1 hora";8670,76551342299;"Superior completo";"Feminino";"Preta";25,4830508474576;3007;533010207;0,780199918533605
"10647";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Automóvel";"Entre 30 minutos e 1 hora";2906,72812807496;"Superior completo";"Masculino";"Preta";23,2991452991453;2726;533010106;0,780199918533605
"10648";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Automóvel";"Até 30 minutos";2824,72002515659;"Médio completo";"Masculino";"Outros";20,4586466165414;2721;533010109;0,780199918533605
"10649";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Automóvel";"Até 30 minutos";3228,25145732182;"Superior completo";"Feminino";"Branca";20,1788079470199;3047;533010208;0,780199918533605
"10650";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Automóvel";"Até 30 minutos";2824,72002515659;"Médio completo";"Feminino";"Branca";24,6666666666667;1184;533010214;0,780199918533605
"10651";"Central Adjacente 2";"Vicente Pires";"Oeste";"Ônibus";"Entre 1 hora e 1 hora e 30 minutos";1009,04256919276;"Médio completo";"Feminino";"Preta";7,39024390243902;303;533020211;0,780199918533605
"10652";"Central Adjacente 2";"Vicente Pires";"Oeste";"A pé";"Até 30 minutos";1412,3600125783;"Médio completo";"Feminino";"Outros";25,7019230769231;2673;533010205;0,780199918533605
"10653";"Central Adjacente 2";"Vicente Pires";"Oeste";"A pé";"Até 30 minutos";1412,3600125783;"Médio completo";"Masculino";"Outros";25,8796296296296;2795;533010105;0,780199918533605
"10654";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"A pé";"Até 30 minutos";1797,04984734155;"Médio completo";"Masculino";"Outros";4,26760563380282;303;533020111;0,780199918533605
"10655";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Até 30 minutos";2515,86978627817;"Superior completo";"Feminino";"Preta";20,1788079470199;3047;533010208;0,780199918533605
"10656";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Automóvel";"Até 30 minutos";2000;"Médio incompleto";"Feminino";"Outros";20,1788079470199;3047;533010208;0,780199918533605
"10657";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Automóvel";"Até 30 minutos";2000;"Médio completo";"Masculino";"Branca";20,7520661157025;2511;533010111;0,780199918533605
"10658";"Central Adjacente 2";"Vicente Pires";"Central";"Ônibus";"Entre 30 minutos e 1 hora";1834,62285307774;"Superior completo";"Feminino";"Outros";5,26262626262626;521;533020209;0,780199918533605
"10659";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Entre 30 minutos e 1 hora";2018,08513838552;"Médio completo";"Masculino";"Branca";5,97674418604651;514;533020108;0,780199918533605
"10660";"Central Adjacente 2";"Vicente Pires";"Central";"Ônibus";"Entre 30 minutos e 1 hora";1009,04256919276;"Médio completo";"Feminino";"Branca";4,3495145631068;448;533020208;0,780199918533605
"10661";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Entre 30 minutos e 1 hora";2081,88224814519;"Médio completo";"Masculino";"Outros";24,1186440677966;2846;533010107;0,780199918533605
"10662";"Central Adjacente 2";"Vicente Pires";"Central";"Ônibus";"Entre 30 minutos e 1 hora";2066,60732444278;"Superior completo";"Feminino";"Outros";25,4830508474576;3007;533010207;0,780199918533605
