"";"unidade_planejamento";"regiao_administrativa";"local_trabalho";"meio_transporte";"tempo_deslocamento";"renda";"escolaridade";"sexo";"cor_raca";"peso_amostral_morador";"pop_ajustada";"pos_estrato"
"2797";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";3669,24570615549;"Superior completo";"Masculino";"Parda";6,60629921259843;839;530130107
"2798";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";3669,24570615549;"Superior completo";"Feminino";"Parda";9,02739726027397;1318;530130207
"2799";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";3414,39470994895;"Superior completo";"Masculino";"Parda";17,7539682539683;2237;530120106
"2800";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";7188,19938936621;"Superior completo";"Masculino";"Parda";4,79687359325068;5111;530110107
"2801";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";8086,72431303698;"Superior completo";"Masculino";"Branca";14,695;2939;530120108
"2802";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";5503,86855923323;"Superior completo";"Masculino";"Branca";16,8538257922262;3898;530110106
"2803";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";3210,58999288605;"Superior completo";"Feminino";"Branca";17,3030998450216;4192;530110206
"2804";"Central";"Plano Piloto";"Central Adjacente 2";"Automóvel";"Entre 30 minutos e 1 hora";12579,3489313909;"Superior completo";"Masculino";"Parda";7,32142857142857;410;530130112
"2805";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";4941,88708018927;"Superior completo";"Feminino";"Branca";9,73793103448276;1412;530130209
"2806";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";9173,11426538872;"Superior completo";"Feminino";"Branca";17,8878048780488;3667;530120209
"2807";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";15594,2942511608;"Superior completo";"Feminino";"Branca";13,1032863849765;2791;530120207
"2808";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";17887,572817508;"Superior completo";"Masculino";"Branca";14,695;2939;530120108
"2809";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";5731,82612918775;"Superior completo";"Masculino";"Preta";23,9235466903636;6223;530110108
"2810";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";8597,73919378163;"Superior completo";"Feminino";"Branca";19,6903182775035;5629;530110207
"2811";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";9173,11426538872;"Superior completo";"Feminino";"Branca";19,6903182775035;5629;530110207
"2812";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";9173,11426538872;"Superior completo";"Masculino";"Branca";23,9235466903636;6223;530110108
"2813";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";3761,55016845096;"Superior completo";"Feminino";"Parda";26,8653502694547;6513;530110208
"2814";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";4890,01521898625;"Superior completo";"Masculino";"Branca";20,8844017095613;5111;530110107
"2815";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";27519,3427961662;"Superior completo";"Masculino";"Branca";20,8230769230769;2707;530120111
"2816";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";22463,1230917694;"Superior completo";"Masculino";"Amarela";7,67948717948718;1198;530130109
"2817";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";16173,448626074;"Superior completo";"Feminino";"Parda";9,73793103448276;1412;530130209
"2818";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";11284,6505053529;"Superior completo";"Feminino";"Parda";23,8632478632479;2792;530120213
"2819";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";13477,8738550616;"Superior completo";"Masculino";"Branca";7,03333333333333;844;530130110
"2820";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";10782,2990840493;"Superior completo";"Feminino";"Branca";8,69724770642202;948;530130210
"2821";"Central";"Plano Piloto";"Central";"Ônibus";"Até 30 minutos";9553,04354864625;"Superior completo";"Feminino";"Branca";26,8653502694547;6513;530110208
"2822";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";11007,7371184665;"Superior completo";"Feminino";"Parda";9,02739726027397;1318;530130207
"2823";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";13759,6713980831;"Superior completo";"Masculino";"Amarela";6,60629921259843;839;530130107
"2824";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";12579,3489313909;"Superior completo";"Masculino";"Branca";6,60629921259843;839;530130107
"2825";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";10782,2990840493;"Superior completo";"Feminino";"Branca";9,02739726027397;1318;530130207
"2826";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";15274,9237024032;"Superior completo";"Feminino";"Branca";9,73793103448276;1412;530130209
"2827";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";14376,3987787324;"Superior completo";"Masculino";"Branca";7,67948717948718;1198;530130109
